"","startYear","genres","mean_ratings","count"
"209",1989,"Action",6.55250596658711,1676
"210",1989,"Adult",6.20606796116505,412
"211",1989,"Adventure",6.82483847810481,1393
"212",1989,"Animation",6.91186943620178,1348
"213",1989,"Biography",6.89714285714286,140
"214",1989,"Comedy",6.89529078014184,3525
"215",1989,"Crime",6.81637658227848,1264
"216",1989,"Documentary",7.08524332810047,637
"217",1989,"Drama",6.90429813664596,4025
"218",1989,"Family",7.23338607594937,1264
"219",1989,"Fantasy",6.59295499021526,511
"220",1989,"Game-Show",6.72638888888889,72
"221",1989,"History",7.19222614840989,283
"222",1989,"Horror",5.60994263862333,523
"223",1989,"Music",7.23170731707317,287
"224",1989,"Musical",6.57037037037037,81
"225",1989,"Mystery",7.02310286677909,593
"226",1989,"News",6.08372093023256,43
"227",1989,"Romance",6.73271832718327,813
"228",1989,"Sci-Fi",6.17577639751553,322
"229",1989,"Short",6.54214559386973,522
"230",1989,"Sport",6.71888888888889,180
"231",1989,"Talk-Show",7.26829268292683,82
"232",1989,"Thriller",5.83809523809524,399
"233",1989,"War",7.09409090909091,220
"234",1989,"Western",7.47846153846154,65
"235",1990,"Action",6.38689288090486,1503
"236",1990,"Adult",6.19133663366337,404
"237",1990,"Adventure",7.05024734982332,1415
"238",1990,"Animation",6.99199706314244,1362
"239",1990,"Biography",6.839375,160
"240",1990,"Comedy",6.97618410489698,3737
"241",1990,"Crime",6.70660237388724,1348
"242",1990,"Documentary",7.02060857538036,723
"243",1990,"Drama",6.8402478314746,4035
"244",1990,"Family",7.09252640129976,1231
"245",1990,"Fantasy",6.43852813852814,462
"246",1990,"Game-Show",6.4375,96
"247",1990,"History",7.21747967479675,246
"248",1990,"Horror",5.55341176470588,425
"249",1990,"Music",7.24985835694051,353
"250",1990,"Musical",7.09649122807018,114
"251",1990,"Mystery",7.0950184501845,542
"252",1990,"News",5.82692307692308,26
"253",1990,"Romance",6.52310513447433,818
"254",1990,"Sci-Fi",6.0978102189781,274
"255",1990,"Short",6.3631970260223,538
"256",1990,"Sport",6.83640552995392,217
"257",1990,"Talk-Show",6.99878048780488,82
"258",1990,"Thriller",5.74959128065395,367
"259",1990,"War",7.23028571428571,175
"260",1990,"Western",7.562,50
"261",1991,"Action",6.53292533659731,1634
"262",1991,"Adult",6.18719806763285,414
"263",1991,"Adventure",7.08911651728553,1562
"264",1991,"Animation",7.1132848645076,1513
"265",1991,"Biography",6.91818181818182,143
"266",1991,"Comedy",7.00351145038168,3930
"267",1991,"Crime",6.81718131433096,1263
"268",1991,"Documentary",7.17095541401274,785
"269",1991,"Drama",6.90377262299261,3923
"270",1991,"Family",7.19041353383459,1064
"271",1991,"Fantasy",6.58095238095238,483
"272",1991,"Game-Show",7.03595505617978,89
"273",1991,"History",7.48286713286713,286
"274",1991,"Horror",5.6,354
"275",1991,"Music",7.27204819277108,415
"276",1991,"Musical",6.82680412371134,97
"277",1991,"Mystery",7.02337917485265,509
"278",1991,"News",6.54230769230769,26
"279",1991,"Romance",6.62362971985384,821
"280",1991,"Sci-Fi",6.24147286821705,258
"281",1991,"Short",6.74388984509466,581
"282",1991,"Sport",6.7565,200
"283",1991,"Talk-Show",6.8394495412844,109
"284",1991,"Thriller",5.74,350
"285",1991,"War",6.89333333333333,120
"286",1991,"Western",7.30555555555556,54
"287",1992,"Action",6.53590425531915,1504
"288",1992,"Adult",6.29188118811881,505
"289",1992,"Adventure",7.08560606060606,1584
"290",1992,"Animation",7.11291696238467,1409
"291",1992,"Biography",6.97153284671533,137
"292",1992,"Comedy",7.02885043263288,4045
