"year","genres","mean_ratings","count"
1989,"Other",6.84444444444445,180
1989,"Romance",6.73271832718327,813
1989,"Sci-Fi",6.17577639751553,322
1989,"Short",6.54214559386973,522
1989,"Sport",6.71888888888889,180
1989,"Talk-Show",7.26829268292683,82
1989,"Thriller",5.83809523809524,399
1989,"War",7.09409090909091,220
1990,"Action",6.38689288090486,1503
1990,"Adult",6.19133663366337,404
1990,"Adventure",7.05024734982332,1415
1990,"Animation",6.99199706314244,1362
1990,"Biography",6.839375,160
1990,"Comedy",6.97618410489698,3737
1990,"Crime",6.70660237388724,1348
1990,"Documentary",7.02060857538036,723
1990,"Drama",6.8402478314746,4035
1990,"Family",7.09252640129976,1231
1990,"Fantasy",6.43852813852814,462
1990,"History",7.21747967479675,246
1990,"Horror",5.55341176470588,425
1990,"Music",7.24985835694051,353
1990,"Musical",7.09649122807018,114
1990,"Mystery",7.0950184501845,542
1990,"Other",6.67209302325581,172
1990,"Romance",6.52310513447433,818
1990,"Sci-Fi",6.0978102189781,274
1990,"Short",6.3631970260223,538
1990,"Sport",6.83640552995392,217
1990,"Talk-Show",6.99878048780488,82
1990,"Thriller",5.74959128065395,367
1990,"War",7.23028571428571,175
1991,"Action",6.53292533659731,1634
1991,"Adult",6.18719806763285,414
1991,"Adventure",7.08911651728553,1562
1991,"Animation",7.1132848645076,1513
1991,"Biography",6.91818181818182,143
1991,"Comedy",7.00351145038168,3930
1991,"Crime",6.81718131433096,1263
1991,"Documentary",7.17095541401274,785
1991,"Drama",6.90377262299261,3923
1991,"Family",7.19041353383459,1064
1991,"Fantasy",6.58095238095238,483
1991,"History",7.48286713286713,286
1991,"Horror",5.6,354
1991,"Music",7.27204819277108,415
1991,"Musical",6.82680412371134,97
1991,"Mystery",7.02337917485265,509
1991,"Other",7.04615384615385,169
1991,"Romance",6.62362971985384,821
1991,"Sci-Fi",6.24147286821705,258
1991,"Short",6.74388984509466,581
1991,"Sport",6.7565,200
1991,"Talk-Show",6.8394495412844,109
1991,"Thriller",5.74,350
1991,"War",6.89333333333333,120
1992,"Action",6.53590425531915,1504
1992,"Adult",6.29188118811881,505
1992,"Adventure",7.08560606060606,1584
1992,"Animation",7.11291696238467,1409
1992,"Biography",6.97153284671533,137
1992,"Comedy",7.02885043263288,4045
1992,"Crime",6.83067577828398,1317
1992,"Documentary",7.12360616844603,843
1992,"Drama",6.85292450399382,3881
1992,"Family",7.06808873720137,1172
1992,"Fantasy",6.7445871559633,545
1992,"History",7.25016611295681,301
1992,"Horror",5.64587912087912,364
1992,"Music",7.24915254237288,413
1992,"Musical",6.75540540540541,74
1992,"Mystery",7.06137931034483,435
1992,"Other",6.73473053892215,167
1992,"Romance",6.53239740820734,926
1992,"Sci-Fi",6.36489361702128,282
1992,"Short",6.59237012987013,616
1992,"Sport",6.76623376623377,231
1992,"Talk-Show",6.24444444444444,99
1992,"Thriller",5.6976253298153,379
1992,"War",7.02991452991453,117
1993,"Action",6.76009538950715,1887
1993,"Adult",6.30644599303136,574
1993,"Adventure",7.18787706317587,1757
1993,"Animation",7.29629147690306,1537
1993,"Biography",7.10245098039216,204
1993,"Comedy",7.06883243771373,4094
1993,"Crime",6.95122273628553,1513
1993,"Documentary",7.16536748329621,898
1993,"Drama",6.93531376759723,4191
1993,"Family",7.15480620155039,1290
1993,"Fantasy",6.81482213438735,506
1993,"History",7.19651162790698,172
1993,"Horror",5.72547770700637,314
1993,"Music",7.29744680851064,470
1993,"Musical",6.5641975308642,81
1993,"Mystery",7.27781456953642,604
1993,"Other",6.65635593220339,236
1993,"Romance",6.62842696629213,890
1993,"Sci-Fi",6.3420245398773,326
1993,"Short",6.56772793053546,691
1993,"Sport",6.4487012987013,308
1993,"Talk-Show",6.20246913580247,81
1993,"Thriller",5.65288220551378,399
1993,"War",6.50574712643678,87
1994,"Action",6.75739206279983,2293
1994,"Adult",6.3875,616
1994,"Adventure",7.15920930232558,2150
1994,"Animation",7.31953955135773,1694
1994,"Biography",6.86268656716418,201
1994,"Comedy",7.06714453584019,4255
1994,"Crime",6.9934396076027,1631
1994,"Documentary",7.18310749774164,1107
1994,"Drama",6.90936872629935,4483
1994,"Family",7.15595588235294,1360
1994,"Fantasy",6.80910683012259,571
1994,"History",7.36028037383178,214
1994,"Horror",5.73046357615894,302
1994,"Music",7.34447058823529,425
1994,"Musical",7.20967741935484,93
1994,"Mystery",7.09176829268293,656
1994,"Other",6.91892744479495,317
1994,"Romance",6.73022312373225,986
1994,"Sci-Fi",6.31967213114754,366
1994,"Short",6.60054794520548,730
1994,"Sport",6.71163522012579,318
1994,"Talk-Show",6.38,115
1994,"Thriller",5.76780821917808,438
1994,"War",7.11775700934579,107
1995,"Action",6.90427176566314,2458
1995,"Adult",6.39351988217968,679
1995,"Adventure",7.32454702329594,2318
1995,"Animation",7.43774062816616,1974
1995,"Biography",6.89806451612903,310
1995,"Comedy",7.10939471839215,4279
1995,"Crime",7.03913305237809,1661
1995,"Documentary",7.14599504541701,1211
1995,"Drama",6.96751907609816,4849
1995,"Family",7.11898016997167,1412
1995,"Fantasy",7.00179856115108,556
1995,"History",7.42961956521739,368
1995,"Horror",5.6267029972752,367
1995,"Music",7.43630705394191,482
1995,"Musical",6.75365853658537,82
1995,"Mystery",7.11926229508197,732
1995,"Other",7.15225806451613,310
1995,"Romance",6.80464216634429,1034
1995,"Sci-Fi",6.29800884955752,452
1995,"Short",6.6487684729064,812
1995,"Sport",6.62269736842105,304
1995,"Talk-Show",6.84150943396226,159
1995,"Thriller",5.82674199623352,531
1995,"War",7.43155339805825,206
1996,"Action",6.92350443844076,2591
1996,"Adult",6.48270676691729,532
1996,"Adventure",7.19391143911439,2168
1996,"Animation",7.33894255210981,1967
1996,"Biography",6.72935153583618,293
1996,"Comedy",7.06263374485597,4860
1996,"Crime",7.05163288288288,1776
1996,"Documentary",7.20030326004549,1319
1996,"Drama",6.97454508280515,4891
1996,"Family",7.22015838732901,1389
1996,"Fantasy",6.829793977813,631
1996,"History",7.22016129032258,248
1996,"Horror",5.93832923832924,407
1996,"Music",7.35653153153153,444
1996,"Musical",6.61739130434783,92
1996,"Mystery",7.24782608695652,736
1996,"Other",6.63728323699422,346
1996,"Romance",6.85032021957914,1093
