"X","crop","year","yield","pct_change_yield","genres","mean_ratings","count","pct_change_rating"
9,"maize",1989,45598.7358732149,9.19402964426675,"Sport",6.71888888888889,180,4.36455245173776
9,"maize",1989,45598.7358732149,9.19402964426675,"Talk-Show",7.26829268292683,82,-3.08943089430893
9,"maize",1989,45598.7358732149,9.19402964426675,"Thriller",5.83809523809524,399,-3.8806295541636
9,"maize",1989,45598.7358732149,9.19402964426675,"War",7.09409090909091,220,3.23211375619115
10,"maize",1990,47187.3077875674,3.48380691686157,"Action",6.38689288090486,1503,-2.52747706796077
10,"maize",1990,47187.3077875674,3.48380691686157,"Adult",6.19133663366337,404,-0.237369741901987
10,"maize",1990,47187.3077875674,3.48380691686157,"Adventure",7.05024734982332,1415,3.30277225522126
10,"maize",1990,47187.3077875674,3.48380691686157,"Animation",6.99199706314244,1362,1.15927576005678
10,"maize",1990,47187.3077875674,3.48380691686157,"Biography",6.839375,160,-0.837562137531096
10,"maize",1990,47187.3077875674,3.48380691686157,"Comedy",6.97618410489698,3737,1.17316770727218
10,"maize",1990,47187.3077875674,3.48380691686157,"Crime",6.70660237388724,1348,-1.61044811809014
10,"maize",1990,47187.3077875674,3.48380691686157,"Documentary",7.02060857538036,723,-0.91224464322579
10,"maize",1990,47187.3077875674,3.48380691686157,"Drama",6.8402478314746,4035,-0.927687418818144
10,"maize",1990,47187.3077875674,3.48380691686157,"Family",7.09252640129976,1231,-1.94735457461561
10,"maize",1990,47187.3077875674,3.48380691686157,"Fantasy",6.43852813852814,462,-2.34230101549772
10,"maize",1990,47187.3077875674,3.48380691686157,"History",7.21747967479675,246,0.351122529600141
10,"maize",1990,47187.3077875674,3.48380691686157,"Horror",5.55341176470588,425,-1.00769076546785
10,"maize",1990,47187.3077875674,3.48380691686157,"Music",7.24985835694051,353,0.250992456850247
10,"maize",1990,47187.3077875674,3.48380691686157,"Musical",7.09649122807018,114,8.00747641369496
10,"maize",1990,47187.3077875674,3.48380691686157,"Mystery",7.0950184501845,542,1.02398590437265
10,"maize",1990,47187.3077875674,3.48380691686157,"Other",6.67209302325581,172,-2.51812141347026
10,"maize",1990,47187.3077875674,3.48380691686157,"Romance",6.52310513447433,818,-3.11335158434641
10,"maize",1990,47187.3077875674,3.48380691686157,"Sci-Fi",6.0978102189781,274,-1.26245144770454
10,"maize",1990,47187.3077875674,3.48380691686157,"Short",6.3631970260223,538,-2.73531925084505
10,"maize",1990,47187.3077875674,3.48380691686157,"Sport",6.83640552995392,217,1.74904873422402
10,"maize",1990,47187.3077875674,3.48380691686157,"Talk-Show",6.99878048780488,82,-3.70805369127514
10,"maize",1990,47187.3077875674,3.48380691686157,"Thriller",5.74959128065395,367,-1.51597316987526
10,"maize",1990,47187.3077875674,3.48380691686157,"War",7.23028571428571,175,1.91983450649427
11,"maize",1991,46293.208674442,-1.89478729566549,"Action",6.53292533659731,1634,2.28643971983699
11,"maize",1991,46293.208674442,-1.89478729566549,"Adult",6.18719806763285,414,-0.0668444679298866
11,"maize",1991,46293.208674442,-1.89478729566549,"Adventure",7.08911651728553,1562,0.551316365704297
11,"maize",1991,46293.208674442,-1.89478729566549,"Animation",7.1132848645076,1513,1.73466607994609
11,"maize",1991,46293.208674442,-1.89478729566549,"Biography",6.91818181818182,143,1.15225175080791
11,"maize",1991,46293.208674442,-1.89478729566549,"Comedy",7.00351145038168,3930,0.391723398835152
11,"maize",1991,46293.208674442,-1.89478729566549,"Crime",6.81718131433096,1263,1.64880716462736
11,"maize",1991,46293.208674442,-1.89478729566549,"Documentary",7.17095541401274,785,2.14150720721863
11,"maize",1991,46293.208674442,-1.89478729566549,"Drama",6.90377262299261,3923,0.928691373223474
11,"maize",1991,46293.208674442,-1.89478729566549,"Family",7.19041353383459,1064,1.38014477488432
11,"maize",1991,46293.208674442,-1.89478729566549,"Fantasy",6.58095238095238,483,2.21206212600009
11,"maize",1991,46293.208674442,-1.89478729566549,"History",7.48286713286713,286,3.67701012026549
11,"maize",1991,46293.208674442,-1.89478729566549,"Horror",5.6,354,0.83891195661389
11,"maize",1991,46293.208674442,-1.89478729566549,"Music",7.27204819277108,415,0.306072680845235
11,"maize",1991,46293.208674442,-1.89478729566549,"Musical",6.82680412371134,97,-3.80028799714559
11,"maize",1991,46293.208674442,-1.89478729566549,"Mystery",7.02337917485265,509,-1.00971231907067
11,"maize",1991,46293.208674442,-1.89478729566549,"Other",7.04615384615385,169,5.60634903611555
11,"maize",1991,46293.208674442,-1.89478729566549,"Romance",6.62362971985384,821,1.54105419592645
11,"maize",1991,46293.208674442,-1.89478729566549,"Sci-Fi",6.24147286821705,258,2.35597114504863
11,"maize",1991,46293.208674442,-1.89478729566549,"Short",6.74388984509466,581,5.98272876850294
11,"maize",1991,46293.208674442,-1.89478729566549,"Sport",6.7565,200,-1.16882372767109
11,"maize",1991,46293.208674442,-1.89478729566549,"Talk-Show",6.8394495412844,109,-2.27655299088334
11,"maize",1991,46293.208674442,-1.89478729566549,"Thriller",5.74,350,-0.166816738543184
11,"maize",1991,46293.208674442,-1.89478729566549,"War",6.89333333333333,120,-4.66029136700123
12,"maize",1992,48599.8083900679,4.98258768763926,"Action",6.53590425531915,1504,0.0455985422817048
12,"maize",1992,48599.8083900679,4.98258768763926,"Adult",6.29188118811881,505,1.69193097330422
12,"maize",1992,48599.8083900679,4.98258768763926,"Adventure",7.08560606060606,1584,-0.0495189586870252
12,"maize",1992,48599.8083900679,4.98258768763926,"Animation",7.11291696238467,1409,-0.00517204259265242
12,"maize",1992,48599.8083900679,4.98258768763926,"Biography",6.97153284671533,137,0.771171240300406
12,"maize",1992,48599.8083900679,4.98258768763926,"Comedy",7.02885043263288,4045,0.361803966920324
12,"maize",1992,48599.8083900679,4.98258768763926,"Crime",6.83067577828398,1317,0.197947851623835
12,"maize",1992,48599.8083900679,4.98258768763926,"Documentary",7.12360616844603,843,-0.660292008986483
12,"maize",1992,48599.8083900679,4.98258768763926,"Drama",6.85292450399382,3881,-0.736526559832575
12,"maize",1992,48599.8083900679,4.98258768763926,"Family",7.06808873720137,1172,-1.70122060515184
12,"maize",1992,48599.8083900679,4.98258768763926,"Fantasy",6.7445871559633,545,2.4864907924959
12,"maize",1992,48599.8083900679,4.98258768763926,"History",7.25016611295681,301,-3.10978420140891
12,"maize",1992,48599.8083900679,4.98258768763926,"Horror",5.64587912087912,364,0.81927001569856
12,"maize",1992,48599.8083900679,4.98258768763926,"Music",7.24915254237288,413,-0.314844591114774
12,"maize",1992,48599.8083900679,4.98258768763926,"Musical",6.75540540540541,74,-1.04585860399806
12,"maize",1992,48599.8083900679,4.98258768763926,"Mystery",7.06137931034483,435,0.541052028462889
12,"maize",1992,48599.8083900679,4.98258768763926,"Other",6.73473053892215,167,-4.4197630938996
12,"maize",1992,48599.8083900679,4.98258768763926,"Romance",6.53239740820734,926,-1.37737638583626
12,"maize",1992,48599.8083900679,4.98258768763926,"Sci-Fi",6.36489361702128,282,1.97742986968212
12,"maize",1992,48599.8083900679,4.98258768763926,"Short",6.59237012987013,616,-2.246770316611
12,"maize",1992,48599.8083900679,4.98258768763926,"Sport",6.76623376623377,231,0.144065214737962
12,"maize",1992,48599.8083900679,4.98258768763926,"Talk-Show",6.24444444444444,99,-8.69960503763322
12,"maize",1992,48599.8083900679,4.98258768763926,"Thriller",5.6976253298153,379,-0.738234672207322
12,"maize",1992,48599.8083900679,4.98258768763926,"War",7.02991452991453,117,1.98135198135203
13,"maize",1993,47650.8043110818,-1.95269098875714,"Action",6.76009538950715,1887,3.43014715990591
13,"maize",1993,47650.8043110818,-1.95269098875714,"Adult",6.30644599303136,574,0.231485695248874
13,"maize",1993,47650.8043110818,-1.95269098875714,"Adventure",7.18787706317587,1757,1.44336280757136
13,"maize",1993,47650.8043110818,-1.95269098875714,"Animation",7.29629147690306,1537,2.57804942034516
13,"maize",1993,47650.8043110818,-1.95269098875714,"Biography",7.10245098039216,204,1.87789595997547
13,"maize",1993,47650.8043110818,-1.95269098875714,"Comedy",7.06883243771373,4094,0.568827085795211
13,"maize",1993,47650.8043110818,-1.95269098875714,"Crime",6.95122273628553,1513,1.76478816905337
13,"maize",1993,47650.8043110818,-1.95269098875714,"Documentary",7.16536748329621,898,0.586238400364711
13,"maize",1993,47650.8043110818,-1.95269098875714,"Drama",6.93531376759723,4191,1.20224968997389
13,"maize",1993,47650.8043110818,-1.95269098875714,"Family",7.15480620155039,1290,1.22688703514152
13,"maize",1993,47650.8043110818,-1.95269098875714,"Fantasy",6.81482213438735,506,1.04135326299328
13,"maize",1993,47650.8043110818,-1.95269098875714,"History",7.19651162790698,172,-0.740044906749687
13,"maize",1993,47650.8043110818,-1.95269098875714,"Horror",5.72547770700637,314,1.40985282226263
13,"maize",1993,47650.8043110818,-1.95269098875714,"Music",7.29744680851064,470,0.666205682049987
13,"maize",1993,47650.8043110818,-1.95269098875714,"Musical",6.5641975308642,81,-2.83044263173626
13,"maize",1993,47650.8043110818,-1.95269098875714,"Mystery",7.27781456953642,604,3.0650564100772
13,"maize",1993,47650.8043110818,-1.95269098875714,"Other",6.65635593220339,236,-1.16373782537865
13,"maize",1993,47650.8043110818,-1.95269098875714,"Romance",6.62842696629213,890,1.47005076519285
13,"maize",1993,47650.8043110818,-1.95269098875714,"Sci-Fi",6.3420245398773,326,-0.359300225895726
13,"maize",1993,47650.8043110818,-1.95269098875714,"Short",6.56772793053546,691,-0.373798783278498
13,"maize",1993,47650.8043110818,-1.95269098875714,"Sport",6.4487012987013,308,-4.69289827255282
13,"maize",1993,47650.8043110818,-1.95269098875714,"Talk-Show",6.20246913580247,81,-0.672202451561792
13,"maize",1993,47650.8043110818,-1.95269098875714,"Thriller",5.65288220551378,399,-0.785294253509122
13,"maize",1993,47650.8043110818,-1.95269098875714,"War",6.50574712643678,87,-7.45624148412117
14,"maize",1994,50674.2849899959,6.34507795330318,"Action",6.75739206279983,2293,-0.0399894757626681
14,"maize",1994,50674.2849899959,6.34507795330318,"Adult",6.3875,616,1.28525649879829
14,"maize",1994,50674.2849899959,6.34507795330318,"Adventure",7.15920930232558,2150,-0.398834879872353
14,"maize",1994,50674.2849899959,6.34507795330318,"Animation",7.31953955135773,1694,0.318628642074719
14,"maize",1994,50674.2849899959,6.34507795330318,"Biography",6.86268656716418,201,-3.37579821233404
14,"maize",1994,50674.2849899959,6.34507795330318,"Comedy",7.06714453584019,4255,-0.0238780857859146
14,"maize",1994,50674.2849899959,6.34507795330318,"Crime",6.9934396076027,1631,0.607330147785341
14,"maize",1994,50674.2849899959,6.34507795330318,"Documentary",7.18310749774164,1107,0.247579966928212
14,"maize",1994,50674.2849899959,6.34507795330318,"Drama",6.90936872629935,4483,-0.374100468519518
14,"maize",1994,50674.2849899959,6.34507795330318,"Family",7.15595588235294,1360,0.0160686505009636
14,"maize",1994,50674.2849899959,6.34507795330318,"Fantasy",6.80910683012259,571,-0.0838657877205672
14,"maize",1994,50674.2849899959,6.34507795330318,"History",7.36028037383178,214,2.27566846817464
14,"maize",1994,50674.2849899959,6.34507795330318,"Horror",5.73046357615894,302,0.0870821511796216
14,"maize",1994,50674.2849899959,6.34507795330318,"Music",7.34447058823529,425,0.644386741809601
14,"maize",1994,50674.2849899959,6.34507795330318,"Musical",7.20967741935484,93,9.8333404114617
14,"maize",1994,50674.2849899959,6.34507795330318,"Mystery",7.09176829268293,656,-2.55634813275189
14,"maize",1994,50674.2849899959,6.34507795330318,"Other",6.91892744479495,317,3.94467356111841
14,"maize",1994,50674.2849899959,6.34507795330318,"Romance",6.73022312373225,986,1.53575136239396
14,"maize",1994,50674.2849899959,6.34507795330318,"Sci-Fi",6.31967213114754,366,-0.352449105001294
14,"maize",1994,50674.2849899959,6.34507795330318,"Short",6.60054794520548,730,0.499716416653455
14,"maize",1994,50674.2849899959,6.34507795330318,"Sport",6.71163522012579,318,4.07731586943625
14,"maize",1994,50674.2849899959,6.34507795330318,"Talk-Show",6.38,115,2.86226114649678
14,"maize",1994,50674.2849899959,6.34507795330318,"Thriller",5.76780821917808,438,2.03305162722481
14,"maize",1994,50674.2849899959,6.34507795330318,"War",7.11775700934579,107,9.40721904824803
15,"maize",1995,49839.1237373799,-1.64809676699113,"Action",6.90427176566314,2458,2.17361522756536
15,"maize",1995,49839.1237373799,-1.64809676699113,"Adult",6.39351988217968,679,0.0942447307973346
15,"maize",1995,49839.1237373799,-1.64809676699113,"Adventure",7.32454702329594,2318,2.30944108473894
15,"maize",1995,49839.1237373799,-1.64809676699113,"Animation",7.43774062816616,1974,1.61487038875969
15,"maize",1995,49839.1237373799,-1.64809676699113,"Biography",6.89806451612903,310,0.515511653032833
15,"maize",1995,49839.1237373799,-1.64809676699113,"Comedy",7.10939471839215,4279,0.597839514073803
15,"maize",1995,49839.1237373799,-1.64809676699113,"Crime",7.03913305237809,1661,0.653375839918811
15,"maize",1995,49839.1237373799,-1.64809676699113,"Documentary",7.14599504541701,1211,-0.516662911369458
15,"maize",1995,49839.1237373799,-1.64809676699113,"Drama",6.96751907609816,4849,0.841615958017558
15,"maize",1995,49839.1237373799,-1.64809676699113,"Family",7.11898016997167,1412,-0.516712413955123
15,"maize",1995,49839.1237373799,-1.64809676699113,"Fantasy",7.00179856115108,556,2.82991199632891
15,"maize",1995,49839.1237373799,-1.64809676699113,"History",7.42961956521739,368,0.942072691036779
15,"maize",1995,49839.1237373799,-1.64809676699113,"Horror",5.6267029972752,367,-1.81068385663292
15,"maize",1995,49839.1237373799,-1.64809676699113,"Music",7.43630705394191,482,1.25041641331817
15,"maize",1995,49839.1237373799,-1.64809676699113,"Musical",6.75365853658537,82,-6.32509412342442
15,"maize",1995,49839.1237373799,-1.64809676699113,"Mystery",7.11926229508197,732,0.387688955199038
